기준일자,요일,시간대,격자_50,업종대분류,카드이용금액계,카드이용건수계
20240114,일요일,5,다사668b421a,편의점,887340,240
20240114,일요일,2,다사570b512b,편의점,312967,35
20240114,일요일,6,다사569a437b,한식,7446136,102
20240114,일요일,6,다사643b560b,기타요식,603191,6
20240114,일요일,6,다사670a488b,기타식품,11173,6
20240114,일요일,3,다사570a614a,한식,133249,6
20240114,일요일,3,다사470a393b,화원,56480,7
20240114,일요일,6,다사674b503a,기타요식,316336,7
20240114,일요일,6,다사520b530b,편의점,593805,54
20240114,일요일,3,다사479a539a,기타요식,267611,15
20240114,일요일,6,다사576a467b,커피전문점,72119,15
20240114,일요일,4,다사574b461b,슈퍼마켓일반형,315164,33
20240114,일요일,6,다사577a585a,슈퍼마켓일반형,960214,68
20240114,일요일,5,다사471a388b,정육점,163302,8
20240114,일요일,6,다사653b463a,편의점,216715,24
20240114,일요일,4,다사510a461b,게임방/오락실,117568,30
20240114,일요일,6,다사591b475a,기타요식,346515,14
20240114,일요일,6,다사503a509b,한식,426453,22
20240114,일요일,3,다사483b504b,편의점,38372,39
20240114,일요일,4,다사484b544a,의복/의류,475042,13
20240114,일요일,4,다사438b510b,스포츠/레저용품,453238,5
20240114,일요일,5,다사483b556b,커피전문점,143215,15
20240114,일요일,6,다사483a516b,편의점,165767,16
20240114,일요일,5,다사486a572b,한식,1157382,17
20240114,일요일,2,다사549b490a,기타요식,24696,4
20240114,일요일,3,다사657b458a,편의점,116190,49
20240114,일요일,4,다사629b582b,제과점,539629,38
20240114,일요일,1,다사628a559a,노래방,14998,5
20240114,일요일,2,다사406b444b,기타요식,42022,6
20240114,일요일,4,다사616a572a,일식,1609871,13
20240114,일요일,5,다사497b524a,생활잡화/수입상품점,700146,134
20240114,일요일,3,다사626b582b,ZZ_나머지,98685,6
20240114,일요일,2,다사479b504b,기타요식,159806,4
20240114,일요일,4,다사634b508a,커피전문점,123379,12
20240114,일요일,4,다사603b449b,한식,2054703,76
20240114,일요일,4,다사581b599a,스포츠시설,1887139,147
20240114,일요일,6,다사457b473a,편의점,219583,17
20240114,일요일,4,다사613a623a,기타유통,82023,17
20240114,일요일,4,다사599a451a,기타요식,63000,12
20240114,일요일,5,다사599a527b,패스트푸드,100988,9
20240114,일요일,3,다사672a499b,제과점,315957,26
20240114,일요일,5,다사490a529a,일식,457040,8
20240114,일요일,5,다사636b579b,편의점,678956,74
20240114,일요일,3,다사498b566a,ZZ_나머지,37855,8
20240114,일요일,4,다사598b454a,ZZ_나머지,599845,37
20240114,일요일,4,다사494b446b,기타요식,146408,8
20240114,일요일,4,다사659a461a,농수산물,493849,7
20240114,일요일,4,다사529a478b,미용실,234023,17
20240114,일요일,2,다사599a655b,한식,158482,5
20240114,일요일,1,다사628b587a,게임방/오락실,251411,12
20240114,일요일,5,다사476a421b,기타요식,148939,9
20240114,일요일,4,다사470b534a,커피전문점,672587,52
20240114,일요일,4,다사564b456b,ZZ_나머지,36566,9
20240114,일요일,6,다사563a524a,한식,1545051,42
20240114,일요일,3,다사518b422b,ZZ_나머지,63975,14
20240114,일요일,2,다사510a524b,한식,604570,21
20240114,일요일,3,다사627b508b,기타요식,412560,7
20240114,일요일,3,다사605a547b,ZZ_나머지,77791,17
20240114,일요일,3,다사580a451b,패스트푸드,1402610,145
20240114,일요일,6,다사600b467a,ZZ_나머지,42618,7
20240114,일요일,5,다사632a508a,한식,2238554,40
20240114,일요일,6,다사569b456b,양식,4582483,26
20240114,일요일,4,다사579a467a,기타요식,599322,20
20240114,일요일,4,다사500a496b,한식,1378221,33
20240114,일요일,4,다사599a498a,제과점,55008,6
20240114,일요일,4,다사578b603a,생활잡화/수입상품점,215453,5
20240114,일요일,5,다사515a449b,생활잡화/수입상품점,2064755,111
20240114,일요일,5,다사440a500b,정육점,1236439,57
20240114,일요일,6,다사668a432b,한식,470819,7
20240114,일요일,6,다사527b511a,노래방,230345,14
20240114,일요일,6,다사583a440b,편의점,368092,85
20240114,일요일,5,다사420a467a,한식,436357,17
20240114,일요일,3,다사591a630a,정육점,673348,28
20240114,일요일,3,다사465b461a,미용실,388588,8
20240114,일요일,1,다사554a484b,한식,370335,22
20240114,일요일,4,다사469a428b,기타요식,373367,22
20240114,일요일,3,다사640b575a,한식,365241,31
20240114,일요일,1,다사561a520a,편의점,19309,3
20240114,일요일,4,다사587a570a,한식,688848,7
20240114,일요일,6,다사623a547b,슈퍼마켓일반형,42576,8
20240114,일요일,5,다사607b448b,기타요식,2009697,17
20240114,일요일,2,다사642a546b,편의점,274882,35
20240114,일요일,2,다사453a427a,한의원,12056,4
20240114,일요일,4,다사684b502b,한식,1029799,16
20240114,일요일,2,다사512a461a,커피전문점,35192,6
20240114,일요일,5,다사516a425a,기타요식,673192,106
20240114,일요일,1,다사492a537a,노래방,17046,4
20240114,일요일,5,다사511a543b,편의점,911061,131
20240114,일요일,5,다사566b628b,ZZ_나머지,13706854,66
20240114,일요일,4,다사490b532b,제과점,1185144,60
20240114,일요일,1,다사569a429b,한식,344603,10
20240114,일요일,4,다사587a544b,ZZ_나머지,285495,5
20240114,일요일,3,다사623a625a,편의점,48557,18
20240114,일요일,4,다사611a439a,제과점,3962148,213
20240114,일요일,2,다사482a567b,편의점,151777,12
20240114,일요일,5,다사469a477b,기타요식,320109,30
20240114,일요일,1,다사593a516b,편의점,21298,6
20240114,일요일,5,다사665a444a,편의점,347515,35
20240114,일요일,6,다사466a428b,결제대행(PG),15470642,540
20240114,일요일,6,다사552a516a,편의점,281469,20
20240114,일요일,5,다사488a560a,한식,836504,10
20240114,일요일,5,다사416b473a,제과점,590534,48
20240114,일요일,5,다사608a519b,슈퍼마켓일반형,5819634,492
20240114,일요일,6,다사490a460a,슈퍼마켓일반형,105897,13
20240114,일요일,4,다사441b475a,한식,4279184,12
20240114,일요일,4,다사484b459a,한식,768424,13
20240114,일요일,6,다사478a459b,게임방/오락실,64462,17
20240114,일요일,3,다사533b532b,한식,67920,7
20240114,일요일,3,다사574a585b,가전,9105933,7
20240114,일요일,4,다사610b521b,ZZ_나머지,115211,17
20240114,일요일,5,다사574a518b,한식,327201,7
20240121,일요일,1,다사631a547a,편의점,48553,5
20240121,일요일,3,다사513a493b,편의점,228827,15
20240121,일요일,6,다사565a577b,편의점,282514,41
20240121,일요일,4,다사573b605b,농수산물,81892,7
20240121,일요일,1,다사628a556b,편의점,108570,15
